name,link,location,date
"Aesthetic ARNP/PA",https://www.indeed.com/rc/clk?jk=43fd52833efca86c&fccid=90637f1cd721df37&vjs=3,"Experienced Aesthetic Nurse Practitioner (NP) or P.A. needed to join Aesthetic practice. The ideal candidate will have a minimum of 1-2 years of preferred experience working in a medical spa, dermatology, or plastic surgery based practice. We are looking for someone with strong communication skills and clinical knowledge in the area of aesthetic and cosmetic laser &amp; injectables as our practice provides medical aesthetics to a high-end, well established and growing patient base. This is an amazing opportunity for someone looking to work in a fun and non-stressful environment.\nResponsibilities Include but not limited to:\nProviding the highest quality of patient care using good judgment and integrity\nSkilled at performing thorough patient consultations\nInjectable treatments for facial wrinkles and volumizing using dermal fillers such as Juvederm, Voluma &amp; Botox\nPerform a variety of laser procedures, including laser skin resurfacing, skin tightening, body contouring, and fat reduction\nRecommending various skincare treatment regimens\nSuperior interpersonal skills with the ability to relate well to patients and support staff.\nAbility to take precise before and after photos and accurate charting and electronic clinical documentation\nManaging patient retention and exceptional patient follow up\nREQUIREMENTS:\nMaintain current Florida state license\nPrevious NP Experience in Aesthetic practice or Medical Spa\nTeam Player\nProficient with a wide range of injectable and laser systems\nProvide a thorough patient consult and treatment plan\nCapable of cross selling other procedures and working synergistically with other providers\nA self-starter, and independent clinical thinker\nCapable of working on their own, without direct supervision\nKnowledgeable of various anesthetic services and skincare\nAdept with EMR\nSolutions oriented and can bring value to a growing business\nContinued Education\nStrong relationships with companies and vendors",
"PHYSICIAN/PA/APRN - URGENT CARE PEDIATRICS",https://www.indeed.com/rc/clk?jk=45ddb2c759f9c0e5&fccid=17184d3281237d62&vjs=3,"Brevard County's best kept secret! Come join us for an exciting career in healthcare!\nThe Brevard Health Alliance is seeking dedicated Urgent Care Physician or Physician Assistant (PA) to fulfill our mission in providing the absolute best health care to the underserved population of Brevard County. We operate eight clinics and a mobile unit from Titusville to Malabar, providing medical, dental, urgent care, behavioral health, OB\u002FGYN and specialty care, and serve over 55,000 patients annually, Our objective is to provide a primary health care home for our patients.\nWe are currently expanding operations in several of our locations. If you are seeking a professional work environment, with competitive salaries, and an outstanding package of benefits, including a 401k plan with matching contributions, you need to apply on our website at bhachc.org\nRequirements for the Urgent Care Physician position are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nDoctor of Medicine (M.D.) or Doctor of Osteopathic Medicine (D.O.) degree in Family Medicine, Internal Medicine or Pediatrics from an accredited medical school. Board Certified within two (2) years of completion of residency in Family Medicine, Internal Medicine or Pediatrics.\nClear and active Florida Medical License\nActive Drug Enforcement Administration (DEA) License\nMinimum three (3) years of experience as a practicing physician; experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nExtensive knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and ailments. This includes symptoms, treatment alternatives, drug properties, and interactions, and preventative health-care measures\nRequirements for the Urgent Care Physician Assistant (PA) position are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nMaster of Science in Nursing from an educational institution approved by the Florida Department of Health\nClear and active Florida Physician Assistant licensure\nthree (3) + years' experience of related clinical experience. Experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nExperience working various outpatient settings\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nAbility to speak and understand the English language to effectively communicate with patients\nExtensive knowledge of physical assessment, differential diagnosis, pathophysiology\nRequirements for the Advanced Practice Registered Nurse (APRN) positions are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nMaster of Science in Nursing from an educational institution approved by the Florida Department of Health\nClear and active Florida Advanced Practice Registered Nurse licensure\n3+ years' experience of related clinical experience. Experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nExperience working in various outpatient settings\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nAbility to speak and understand the English language to effectively communicate with patients\nExtensive knowledge of physical assessment, differential diagnosis, pathophysiology\n*** This position is for Urgent Care Hours: 2:30pm - 11:00pm Monday thru Friday AND 11:00am - 11:00pm Saturday***",
"HF-Physician Assistant - Thoracic Services FT",https://www.indeed.com/rc/clk?jk=5a6212c940d19e96&fccid=d34851713cf5135f&vjs=3,"Description\nUnder administrative and physician guidance the Physician Assistant (PA) will provide comprehensive primary care services, acute care services, and extended care services in medicine for individuals and their families. Responsibilities include, but are not limited to, physical exams, diagnose and treat diseases and injuries, order and interpret tests, counsel on preventive health, and write prescriptions. Will have prescriptive authority in the state of Florida under a practice agreement with a supervising physician. Supports the quality of care, coordination of care and throughput of patients who have acute coronary disease, have undergone surgical or interventional procedures in the hospital with primary focus on clinical services. Responsible for coordinating delivery of patient care in collaboration with the Cardiovascular Surgeons and Cardiologists. Actively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all.\nAssess patient health status through physical exam reviews patient history, diagnostic tests and procedures and review labs and other critical data.Diagnose acute and chronic conditions affecting all organs systems.Initiate orders for medications, laboratory, and other diagnostic testing and medical treatments on appropriate forms.Prescribe interventions and performs therapeutic measures to ensure the appropriate individualized plan of care is implemented. Apply knowledge of age-specific needs i.e.: pediatric adolescents, adult and geriatric patients related to plan of care interventions and patient responses to care.Perform interventions in accordance with the patient&rsquo;s care plan to include, but not limited to pulling chest tubes, pulling pacing wires, insertion of intravenous lines according to scope of practice and draining fluid from lung spaces and tissue as needed and according to credentials.Attend medical rounds with surgeon, and pharmacist. Coordinate treatment plan with other caregivers.Lead efforts to reduce waste and promote efficient processes within the inpatient hospital environment particularly cardiovascular care. This includes leading, developing and enthusiastically engaging in performance improvement projects such as length of stay, reducing in complications including infections and stroke as well as renal injury post procedure\u002Fsurgery. All midlevel providers must lead one performance improvement project per year relating to cardiovascular.Write and\u002For dictate progress notes, procedure notes, history and physical examination, transfers\u002Fdischarge summaries in accordance with medical policies.Evaluate the processes and outcomes to enhance the delivery of excellent, cost-effective health care.\nQualifications\n\nKNOWLEDGE AND SKILLS REQUIRED:Strong interpersonal skills, excellent conflict resolution and communication skills requiredAbility to multi-task on a variety of tasks and projectsCompetent with electronic order entry and documentation within the Electronic Health Records\nKNOWLEDGE AND SKILLS PREFERRED:Cardiovascular SurgeryThoracic SurgeryAdvanced Heart Failure Patient Population\nEDUCATION AND EXPERIENCE REQUIRED:Graduate from a Physician Assistant program approved by the Accreditation Review Commission on Education for the Physician Assistant (ARC-PA), the successor program to CAAHEPExperience in cardiovascular acute care; examples of this include, but are not limited to: Cardiac Surgery ICU, Cardiac Cath Lab, Cardiac Surgery Operating Room and Heart and Lung Transplant\nEDUCATION AND EXPERIENCE PREFERRED:Masters in health-related fieldManagement of patients both pre- and post-implantation for Ventricular Assist Devices and Extracorporeal membrane oxygenation (ECMO)Management of patients undergoing Trans catheter Valve proceduresPublic speaking experienceTeaching\u002FPreceptor experiencePublished in peer reviewed journalsResearch involving Acute Coronary disease states\nLICENSURE, CERTIFICATION, OR REGISTRATION REQUIRED:Current State of Florida State Physician Assistant licensePhysician Assistants-Certified (PA-C)Basic Life Support (BLS) CertificationAdvanced Cardiac Life Support (ACLS) Certification\n\n\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",
"Physician Assistant - Steward Medical Group",https://www.indeed.com/rc/clk?jk=676eacaa0149ac93&fccid=9376b7c0a289a810&vjs=3,"Steward Health Care System LLC (&quot;Steward&quot;) is a fully integrated, physician-led national health care services organization committed to providing the highest quality of care in the most cost-efficient manner in the communities where out patents live. Steward - the largest privately held health care company in the U.S. - owns and operations 35 community hospitals across nine states, serves over 1,000 distinct communities and employs approximately 40,000 health care professionals. In addition to our hospitals, the Steward provider network includes 4,800 providers, 25 urgent care centers, 87 preferred skilled nursing facilities, substantial behavioral health offerings, over 7,300 hospital beds under management, and approximately 1.5 million full risk covered lies through the company's managed care and health insurance services. The total number of paneled lives within Steward's integrated care network is projected to reach 3 million in 2018.\nSteward Medical Group (SMG), Inc. is Steward's multi-specialty group practice with over 4,500 employees including over 1,800 physicians and advanced practitioners. SMG operates approximately 450 practice locations throughout Massachusetts, Southern New Hampshire, Rhode Island, New Jersey, Pennsylvania, Ohio, Florida, Utah, Arizona, Texas, Louisiana and Arkansas, and provides more than 4 million patient encounters per year.\nThis position is responsible for providing Physician Assistant services for a Urology practice located in Rockledge, FL. The primary responsibilities of the Physician Assistant include assessing, implementing, evaluating, and coordinating health care to patients in the office setting and at Rockledge Regional Medical Center including some first call responsibility.\n\nResponsibilities in the office include:\nPerform consults on new and established patients.\nFunctions independently and collaboratively to perform history and physical for acute, critical, and chronic urologic patients.\nPerforming diagnostic tests and screening evaluations.\nHelp to organize clinical protocols for the practice\nPrescribing medications.\nReviewing diagnostic results\nResponding to patient inquiries\nOffice procedures commensurate with experience and comfort\n\nResponsibilities in the Hospital include:\nThe PA will perform detailed histories and physical exams, review patients medical records, order laboratories studies, radiological and diagnostic studies. Record appropriate and accurate daily progress notes. The PA will provide patients and families with pre-operative and other pertinent education. They will answer questions regarding surgery, recovery and risk factor modification, procedures. The PA will arrange for hospital admission and discharge at the direction of the supervising physician. In addition, the PA will:\nProvide assistance in the operating room\nIndependently perform routine urologic procedures on the floors and in the emergency room commensurate with experience and comfort level.\nResponsible for providing first call coverage from home on a basis to be determined by supervising physician.\nDaily physical assessment and daily rounding on all urology patients.\nConsult with the supervising physician regarding physical findings and course of treatment.\nOrder appropriate medications as determined by the supervising physician or designee.\nOrder diagnostic tests per as determined by the supervising physician or designee.\nInitiate consultations to other services, authorized by the supervising physician or designee.\nAccountable for maintaining the confidentiality of all Steward Medical Group and patient related information.\nAbide by all Steward Medical Group policies &amp; procedures.\nConduct other duties as assigned by the supervising physician.\n\nQualifications:\nFlorida license to practice as a Physician Assistant\nStart date contingent on successful enrollment of insurance payors.\nDEA \u002F FLorida Control Substance licensure\nGraduation from an accredited Physician Assistant Program. Urology experience in a surgical program preferred.\nCurrent BLS and ACLS certification\n\n\n\nLocation: Steward Medical Group &middot; 1135.62575 Urology Spec of Brevard\nSchedule: Full Time, Day Shift, 40",
"AdventHealth Medical Group Vascular Surgery at Orlando - Surgical PA",https://www.indeed.com/rc/clk?jk=7d31b5439aab32ac&fccid=11994ad5a40ae7aa&vjs=3,"AdventHealth Medical Group formerly known as Florida Hospital Medical Group is associated with the largest Protestant not-for-profit healthcare system in the world, AdventHealth and a national leader in quality, safety and patient satisfaction. AHMG&rsquo;s advanced practice providers manage the treatment and care for our patients in the practice setting, as well as at AdventHealth&rsquo;s eight campuses in Altamonte Springs, Apopka, Celebration, East Orlando, Kissimmee, Orlando, Winter Park and AdventHealth Waterman in Tavares.\nAdventHealth Medical Group Vascular Surgery at Orlando\nFull Time Physician Assistant, PA-C &ndash; Vascular Surgery\nGeneral Summary:\nThe PA-C, under the supervision of the Physician, who acts as the collaborative practitioner, is responsible for:\nPerforming physical examinations of Peripheral and Vascular Surgery patients in the hospital setting including, but not limited to: new patient consults, pre; intra and post-operative\nAssists surgeons in the Operating Room, Case examples: Abdominal Aortic Aneurysm, arterial reconstruction, Carotid Artery Aneurysms, Endovascular Surgery, Open Surgery etc&hellip;\nEnables continuity of care by managing patient care in pre-, intra- and post-operative settings\nOrders and interprets appropriate diagnostic tests, such as routine laboratory, X-ray, Ultrasound etc\nMonitors the patient&rsquo;s course of treatment and makes appropriate referral to either a physician or specialist, as needed\nCollaborates with physician and staff as necessary to provide consistent care to patients and support to staff\nDisplays a caring and professional attitude at all time as well as maintaining personal and professional growth\nCandidate must be able to pass a third party background check and pre-employment drug screen\nHospitals covered: Primary campus will be AdventHealth Orlando and some rounding completed at AdventHealth Altamonte Springs\nCall rotation: Every third day and every third weekend\nKnowledge and Skills Required:\nAbility to establish and maintain effective working relationships with employees, patients, and the public.\nStrong communication skills\nAbility to work variable, flexible shifts as some evening and\u002For weekend hours may be required\nRequired Education and Experience:\nMaster&rsquo;s degree in Physician Assistant Studies\nPrevious vascular surgery and\u002For OR first assist experience (highly preferred)\nLicensure, Certification, and Registration:\nCurrent, valid Florida Physician Assistant license\nNCCPA Certification required\nHospital Description\nAdventHealth Orlando is our 1,364 bed tertiary facility with close to 160 ICU beds. It is at the center of eight other hospitals around the greater Orlando area, which total approximately 3,000 beds. AdventHealth operates many hospitals across 9 different states; 30 of which are in Florida. Our mission has remained the same and is to Extend the Healing Ministry of Christ.\nSince 1908, AdventHealth Orlando has cared for the Central Florida community as well as patients from around the world. AdventHealth Orlando is an acute-care, tertiary hospital caring for approximately 300,000 patients a year. As the primary campus for more than 1,000 physicians, AdventHealth Orlando is home to nationally recognized Centers of Excellence for Cancer, Cardiology, Children, Diabetes, Neuroscience, Orthopaedics, and Abdominal and Cardiothoracic Transplant. AdventHealth Orlando continues to meet the growing needs of our community with the addition of the Ginsburg Tower, a $255 million 15-story facility that is home to the AdventHealth Cardiovascular Institute and a football-field-sized emergency department that can accommodate the treatment of more patients in less time.\nCommunity Description\nOrlando is known as the City Beautiful. There is much more than theme parks here! Our community is culturally diverse and a great place to raise a family. We have excellent public and private schools. Orlando is also the setting for several colleges and Universities, including the University of Central Florida. We are home to multiple theaters, art museums, art festivals and film festivals. We are well known for our excellent restaurants. We have a vibrant sports community with national teams like the Orlando Magic Basketball and Orlando City Soccer Club. We offer year round pleasant weather for outdoor fun and are only an hour away from some of the most scenic beaches in the Southeast.\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",
"Physician Assistants",https://www.indeed.com/rc/clk?jk=1a4dcab8c151984f&fccid=7903e59b97edd60a&vjs=3,"We are seeking mid-level providers to work in new state of the art Urgent Care Centers, located in Brevard County. The job requires urgent care, emergency care experience, acquired on the job and not in school. This position is part of an independent physician group. The offices have xrays, laboratory, and full on call back up physicians. This is a fantastic oppurtunity, with flexible coverage. MedFast and it's affiliates are members of the Urgent Care Association of America.\n\nExperience - ER or Urgent Care: 2 years (required)\nNursing Clinical Setting - Single Provider Clinic\nBenefits - Flexible Schedules\nEnviroment - Outpatient Setting\nCompleted License Needed - Upon starting work\n\nPlease complete the application using the link below, or your resume can be faxed to 321-684-7872.",
"PHYSICIAN&#039;S ASSISTANT/APRN Gen Surg",https://www.indeed.com/rc/clk?jk=695d2bcdf99a3165&fccid=963f7dd4e6d0d7c0&vjs=3,"This position works in the General Surgery Division within the USF Department of Surgery. The primary purpose of this position is to treat patients both independently and in a team environment with our Faculty located, primarily based out of USF locations and Tampa General Hospital. The duties range from outpatient clinic appointments to procedures and inpatient care.\n\nPosition Requirements\nEducational Requirements: This position requires graduation from an accredited Physician&rsquo;s Assistant or APRN academic degree program and certification as outlined in Florida Statutes 458 and 459 and Florida Administrative Code, Chapter 64.\nKnowledge of clinical systems, such as EPIC a plus.\n\nExperience Requirements: Preferred qualifications: Five years in an outpatient clinic (assessing, treating and documenting patient visit), surgical experience, colorectal surgery experience.\n\nRequirements reflect the minimum level necessary to be eligible for this position. Equivalent combinations of education and experience may be considered.\n\n\nCustomer Service Performance\nCUSTOMER SERVICE PERFORMANCE EXPECTATIONS: Courteous and helpful behavior towards patients, physicians, coworkers and external customers; professional and efficient verbal and written communications; accomplishing tasks through teamwork and initiative; and ensuring a timely and thorough response to complaints and\u002For critiques, and anticipating the needs of all you come in contact with.\n\nPhysical Demands\nAbility to lift twenty (20) pounds. Moving, lifting or transferring of patients may involve lifting of up to fifty (50) pounds, as well as assist with weights of more than one-hundred (100) pounds. Ability to stand for extended periods. Fine motor skills. Visual acuity. The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is regularly required to sit and stoop, stand and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel; and reach forward with hands and arms. The employee is occasionally required to, kneel, or crouch. The employee must frequently lift and\u002For move up to 20 pounds and occasionally lift or move 50 lbs. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.\n\nSpecial Instructions to Applicants\n\nLocation S TAMPA CTR-DAVIS IS\n\nDepartment Name Surgery\n\nWork Schedule Summary\n\nSpecific Duties and Responsibilities\nPercentage 90\n\nDuties\nClinical activities\nProvide pre- and post-procedure education, assessment and care of patients.Obtain the History and Physical Examination, order and interpret diagnostic and therapeutic test\u002Fprocedures in coordination with Faculty supervising physician.Manage medical problems; initiates, monitors and alters therapies; orders diagnostic tests and prescribes therapeutic medication in coordination with Faculty supervising physician, fellows, residents and advanced practice providers.Regularly confers with faculty physicians regarding diagnosis, treatment, best forms of therapy projected, and alerts physicians to abnormal findings.Returns patient phone calls, renews prescriptions, coordinates rehabilitative therapy and assesses post-procedure problems.Coordinates full spectrum of patient care including patient education and follow-up care instructions and provisions for continuity of care after discharge.Assists in the operating room in the event a resident is not available.Provide outpatient clinic care including evaluation of new patients, established patients and post op care.\nAssist and coordinate patient care with advanced practice providers in the care of patients at Tampa General Hospital.Documentation of all orders, procedures and progress notes on the patient&rsquo;s electronic medical record.\n\nSpecific Duties and Responsibilities\nPercentage 10\n\nDuties\nRepresents and supports the mission, philosophy and goals of the Department. Participates in clinical and education objectives required for licensure, certification and credentialing.\nResponsible for assisting in development, implementing and maintaining established departmental and hospital policies and procedures, including quality assurance, environmental, HIPAA, and infectious control regulations.",
"AdventHealth Medical Group Urology at Polk County - APRN or PA",https://www.indeed.com/rc/clk?jk=9ec3eee19874090a&fccid=11994ad5a40ae7aa&vjs=3,"AdventHealth Medical Group formerly known as Florida Hospital Medical Group is associated with the largest Protestant not-for-profit healthcare system in the world, AdventHealth and a national leader in quality, safety and patient satisfaction. AHMG&rsquo;s advanced practice providers manage the treatment and care for our patients in the practice setting, as well as at AdventHealth&rsquo;s ten campuses in Altamonte Springs, Apopka, Celebration, East Orlando, Kissimmee, Orlando, Winter Park and AdventHealth Waterman in Tavares, AdventHealth Heart of Floridq, AdventHealth Lake Wales.\nAdventHealth Medical Group Urology &ndash; Polk County\nFull Time - Urology APRN or PA-C\nCampus Covered: AdventHealth Heart of Florida Hospital and Practice and AdventHealth Lake Wales Hospital\nOur skilled physicians at AdventHealth Medical Group of Polk County offer the most advanced surgical and non-surgical treatments for urology conditions affecting both men and women. Through minimally-invasive, laparoscopic procedures and surgery using the acclaimed da Vinci&reg; Surgical System, patients suffering from all manner of urologic disorders can find healing, often with same-day service.\nGeneral Summary:\nThe PA or APRN under the supervision of the Physician, who acts as the collaborative practitioner, is responsible for:\nPerforms physical examinations of patients; evaluation and treatment of acute and chronic urologic conditions also including urologic oncology within the clinic and hospital setting\nOrders and interprets appropriate diagnostic tests, such as routine laboratory, X-ray, etc.\nMonitors the patient&rsquo;s course of treatment and makes appropriate referral to either a physician or specialist, as needed\nCollaborates with physician and staff as necessary to provide consistent care to patients and support to staff\nDisplays a caring and professional attitude at all time as well as maintaining personal and professional growth\nSchedule is Mon-Fri with call responsibilities; 1 in 3. Additional compensation for call.\nClinic and hospital rounding; 50\u002F50.\nAbility to establish and maintain effective working relationships with employees, patients, and the public.\nStrong communication skills\nKnowledge and Skills Required:\nEnthusiastic team player\nPassion for Genitourinary Medical Management\nFlexible and adaptable to change\nWillingness to learn\nRequired Education\u002FExperience:\nMaster&rsquo;s degree in Nursing (APRN) or Physician Assistant (PA-C) Studies\n1-3 years of experience as a PA-C or APRN\nExperience in Urology or Urologic Oncology (highly preferred)\nLicensure, Certification, and Registration:\nCurrent, valid Florida PA or APRN license\nCertification by NCCPA, ANCC or other nationally recognized certification organization\nCurrent BLS through American Heart Association\nHospital Description\nAdventHealth Heart of Florida is a licensed 193-bed acute care hospital located approximately 30 minutes south of Walt Disney World, outside Orlando. The hospital offers outpatient imaging, rehabilitation, laboratory services and an award-winning wound care center.\nCommunity Description\nPolk County is geographically located in the center of Florida and the east side of the county is home to Winter Haven's famed Chain of Lakes, encompasses the heart of Florida's citrus industry, and is just a short drive from Walt Disney World Resort. Comprised of small cities with nostalgic downtown promenades, these communities are booming thanks to affordable home prices and convenience to commuter routes such as US-27 and I-4. Destination cities in Polk County include Davenport, Lake Wales, Winter Haven and Lakeland.\nPolk County offers family-friendly attractions such as Legoland, Bok Tower Gardens, Safari Wilderness Ranch, City, County and State parks. We offer year-round pleasant weather for outdoor fun and are only an hour away from some of the most scenic beaches in the Southeast.\n\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",
"PHYSICIAN/PA/APRN-PEDIATRICS CLINIC",https://www.indeed.com/rc/clk?jk=cafc50cf7d34eacd&fccid=17184d3281237d62&vjs=3,"Brevard County's best kept secret! Come join us for an exciting career in healthcare!\nThe Brevard Health Alliance is seeking dedicated Physician\u002FPA\u002FAPRN to fulfill our mission in providing the absolute best health care to the underserved population of Brevard County. We operate eight clinics and a mobile unit from Titusville to Malabar, providing medical, dental, urgent care, behavioral health, OB\u002FGYN and specialty care, and serve over 55,000 patients annually, Our objective is to provide a primary health care home for our patients.\nWe are currently expanding operations in several of our locations. If you are seeking a professional work environment, with competitive salaries, and an outstanding package of benefits, including a 401k plan with matching contributions, you need to apply on our website at bhachc.org\nRequirements for the Pediatrics Physician position are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nDoctor of Medicine (M.D.) or Doctor of Osteopathic Medicine (D.O.) degree in Family Medicine, Internal Medicine or Pediatrics from an accredited medical school. Board Certified within two (2) years of completion of residency in Family Medicine, Internal Medicine or Pediatrics.\nClear and active Florida Medical License\nActive Drug Enforcement Administration (DEA) License\nMinimum three (3) years of experience as a practicing physician; experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nExtensive knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and ailments. This includes symptoms, treatment alternatives, drug properties, and interactions, and preventative health-care measures\nRequirements for the Pediatrics Physician Assistant (PA) position are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nMaster of Science in Nursing from an educational institution approved by the Florida Department of Health\nClear and active Florida Physician Assistant licensure\nthree (3) + years' experience of related clinical experience. Experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nExperience working various outpatient settings\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nAbility to speak and understand the English language to effectively communicate with patients\nExtensive knowledge of physical assessment, differential diagnosis, pathophysiology\nRequirements for the Pediatrics Advanced Practice Registered Nurse (APRN) positions are:\nGENERAL EDUCATION QUALIFICATIONS\u002FREQUIREMENTS\nMaster of Science in Nursing from an educational institution approved by the Florida Department of Health\nClear and active Florida Advanced Practice Registered Nurse licensure\n3+ years' experience of related clinical experience. Experience in a primary health care environment, community health center or Federally Qualified Health Center (FQHC) preferred\nExperience working in various outpatient settings\nCurrent Basic Life Support (BLS) for Healthcare Providers from the American Heart Association\nProficient in Electronic Medical Records (EMR)\nDemonstrates strong oral and written communication skills\nAbility to speak and understand the English language to effectively communicate with patients\nExtensive knowledge of physical assessment, differential diagnosis, pathophysiology",
"Physician Assistant, Ocala/Leesburg, FL PRN",https://www.indeed.com/rc/clk?jk=d436666f0ac9dca2&fccid=6c68e69971ca1761&vjs=3,"Overview:\nConcentra, one of the largest health care companies in the nation, is looking for a PRN Physician Assistant who will provide comfort and care to patients when they need it most. As a PRN Physician Assistant, you will be the go-to provider for examinations as you work one-on-one helping patients. The treatments you provide, based on the exam results you and your team review and interpret collaboratively, will make a huge impact on the wellbeing of your patients.\n\nAt Concentra, you are not only rewarded by helping thousands of patients feel better each year, but you are also recognized as a key contributor within the company. Hone your skills with the chance to join medical expert panels, educate colleagues, and more. Whatever your career goals may be, Concentra will help you get there.\nConcentra&rsquo;s wide network of clinics ensure career growth opportunities and a healthy work-life balance.\n\nWORK ENVIRONMENT AND CONDITIONS:\nClinic environment\nMinimal travel\nResponsibilities:\nPRN Shift work at Leesburg and Ocala locations.\nShift times are regular business hours only (we do not operate nights or weekends)\nProvide occupational medicine services including but not limited to: pre-employment and maintenance physicals exams, workplace injury care and followup\nProvide common urgent care services to patients ages 2 and up\nProvide care for 3 patient per hour\nQualifications:\nEDUCATION\u002FCREDENTIALS:\nTwo+ years experience in occupational medicine and\u002For urgent care\nLicensure requirements of the state of jurisdiction\nGraduate of accredited PA program of accredited university\nBoard Certification\nNRCME\nMust be able to see patients ages 2 and up\nProficiency with treatment of minor injuries, including but not limited to: lacerations, burns, other minor wounds\nProficiency with evaluation and treatment of orthopedic injuries; collaborating with physical therapy and specialist services as appropriate",
"APRN / Physician Assistant General Pediatrics Clinic - Gainesville",https://www.indeed.com/rc/clk?jk=e2331b1f036fd92c&fccid=2c895ab38c5bf4cc&vjs=3,"For Inpatient assignment, assists the attending physician in the care and management of patients on Inpatient units within the hospital. This includes making patient rounds, contributing to the decisions for daily care, writing orders, interacting with consultants, and facilitating and coordinating the scheduling of therapeutic and diagnostic tests and procedures. Will make frequent bedside visits to assess the status of patients and direct care accordingly. May also see patients in the clinic environment.\n\nFor Emergency Dept. assignment assists the Emergency Department physicians in the comprehensive medical care of the patient, in the emergency department and the chest pain observation unit and in any role the supervisory physician deems appropriate and consistent with applicable law, hospital regulation and licensure and clinical privileges. The incumbent will consult with the supervisory physician to determine the most appropriate care for patients. Acute Care ARNP or PA Required.\n\nFor Clinic assignment, under supervision of an attending physician this position will provide diagnostic and therapeutic health care coverage for patients which will include but not be limited to taking medical histories, performing physical examinations, coordinating lab tests, diagnostic studies, prescribing medications, and providing assistance to the patient regarding a plan of treatment and education. Other duties may include sharing call hours, phone coverage, and seeing admitted patients within the hospital.\n\nFor ICU assignment, assists the attending ICU physician in the care and management of patients. This includes making patient rounds, contributing to the decisions for daily care, writing orders, interacting with consultants, and facilitating and coordinating the scheduling of therapeutic and diagnostic tests and procedures. Will make frequent bedside visits to assess the status of patients and direct care accordingly. Acute Care ARNP or PA Required.\n\nJob Opening Qualifications\n\nMinimum Education and Experience Requirements:\nA minimum of a Master’s degree in advanced nursing practice is required.\nCredentialing: Must meet requirements set of by the Medical Staff Office to obtain and retain privileges to practice as Physician Assistant or Nurse Practitioner within UF Health Shands Hospital and\u002For the Shands UF Healthcare Network, as applicable.\n\nMotor Vehicle Operator Designation:Employees in this position:\nWill operate vehicles for an assigned business purpose as a \"non-frequent driver\"\n\nNOTE: A frequent driver is defined as one who uses his\u002Fher personal or Shands automobile a) at least once daily, b) at least five individual trips per week or c) drives, on average, over 150 miles per week in the performance of his\u002Fher job.\n\nLicensure\u002FCertification\u002FRegistration:\nCurrent and clear license as an Advanced Practice Registered Nurse (APRN) in the State of Florida. BLS is required.",
