Title,Link,Description,date,Summary,Email,ContactAddress,Time
"Appeals &amp; Grievances Physician Assistant Virtual",https://www.indeed.com/rc/clk?jk=0327090e9275bd44&fccid=dffe3742b8f927df&vjs=3,"Appeals &amp; Grievances Physician Assistant Virtual\nWork at home!\n\nIn collaboration with and supervision by an Appeals and Grievances Medical Director, the Physician Assistant is responsible for ongoing clinical review and adjudication of appeals and grievances cases for UnitedHealthcare associated companies. Performance accountabilities include:\n\nWork as part of an integrated team of medical director physicians, other physician assistants, and other members of the appeals staff.\nPerform individual case review for appeals and grievances for various healthplan and insurance products, which may include PPO, ASO, HMO, MAPD, and PDP. The appeals are in response to adverse determinations for medical services related to benefit design and coverage, medical necessity, and the application of clinical criteria of medical policies.\nCommunicate with UnitedHealthcare medical directors regarding appeals decision rationales and benefit interpretations.\nActively participate in team meetings focused on communication, feedback, problem solving, process improvement, staff training and evaluation, and the sharing of program results.\nProvide clinical and strategic input when participating in organizational committees, projects, and task forces.\n\nWhat makes your clinical career greater with UnitedHealth Group? You can improve the health of others and help heal the health care system. You can work with in an incredible team culture; a clinical and business collaboration that is learning and evolving every day. And, when you contribute, you'll open doors for yourself that simply do not exist in any other organization, anywhere.\n\nQualifications\n\nPhysician Assistant (PA-C) with an active, unrestricted licenseCurrent Board Certification by National Commission on Certification of Physician Assistants (NCCPA)\nPhysician Assistant will maintain NCCPA certification for the length of employment5-10+ years clinical practice experienceCardiology office experience and Inpatient care experience highly desired for current open positionsIntermediate or higher level of proficiency with managed care2+ years Quality Management experience desirableExperience with claims coding &amp; review a definite plus\n\nExcellent telephonic communication skills; excellent interpersonal communication skills.Excellent project management skills.Data analysis and interpretation skills.Excellent presentation skills for both clinical and non-clinical audiences.\nFamiliarity with current medical issues and practices.Creative problem solving skills.Basic computer skills, typing, word processing, presentation, and spreadsheet applications skills.\nInternet researching skills.Strong team player and team building skills.\n\nCareers with UnitedHealthcare. Let's talk about opportunity. Start with a Fortune 6 organization that's serving more than 85 million people already and building the industry's singular reputation for bold ideas and impeccable execution. Now, add your energy, your passion for excellence, your near-obsession with driving change for the better. Get the picture? UnitedHealthcare is serving employers and individuals, states and communities, military families and veterans where ever they're found across the globe. We bring them the resources of an industry leader and a commitment to improve their lives that's second to none. This is no small opportunity. It's where you can do your life's best work.SM\n\nDiversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity\u002FAffirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.\n\nUnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.",,,,,
"Physician Assistant Surgery I - Neurosurgery",https://www.indeed.com/rc/clk?jk=f05366f6b9bd4c02&fccid=81f6d74938ba8553&vjs=3,"Physician Assistant Surgery I - Neurosurgery - Orlando Health Physicians\nOrlando Health is one of Florida&rsquo;s most comprehensive private, not-for-profit healthcare systems providing access to nearly two million Central Florida residents and has provided care for more than 4,600 international visitors annually. Our physician practices, diagnostic centers, hospitals and advanced medical treatments and procedures, along with our highly qualified team of medical specialists, have distinguished Orlando Health as a healthcare leader. We are one of Central Florida&rsquo;s largest employers with more than 15,000 employees and nearly 3,000 affiliated physicians supporting our philosophy of providing a continuum of care that revolves around patients&rsquo; needs. As a leading healthcare resource, providing world-class medical care as well as training our future healthcare providers, Orlando Health will continue to foster growth and development throughout the region for generations to come. We are looking for talented individuals to be part of our team.\nQUALIFICATIONS:\nThree (3) years experience as a Physician Assistant.",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=52c9ad48e512f7db&fccid=aaeed13452952388&vjs=3,"National Health Rehabilitation is an organizations that provide acute physiatry care in the sub-acute rehabilitation setting to maximize functional potential, reduce pain and optimize our patient's quality of life.We are seeking to add an energetic PA or NP to see geriatric patients in the inpatient subacute rehab setting. Focus on pain management and physical medicine and rehabilitation. Physician will train and supervise.Requirements: active FL license and DEAInpatient job description:See patients with a multitude of active pain management needsDuties of practitioner will be to see patients, diagnose and perform interventional treatments as needed.Skills that will be needed are good history taking skills, proficient in note writing, exemplar interpersonal skillsSkills that can be taught by onsite physician:Peripheral joint injections (knee, hip, shoulder, ankle, wrist, elbow) - will be trainedManagement of post procedural painMinimal chronic pain management, our goal is wean patients off of opioids!Benefits: Access to corporate health care policyMalpractice coverage401k optionJob Types: Full-time, Part-timeSalary: $70,000.00 to $80,000.00 \u002Fyear \u002F Four days per weekJob Type: Full-timeSalary: $120,000.00 to $150,000.00 \u002FyearExperience:nurse practitioner\u002F PA: 1 year (Preferred)Nursing home: 1 year (Required)License:Physician Assistant (Required)Additional Compensation:BonusesWork Location:Multiple locationsBenefits:Health insuranceDental insurancePaid time offRelocation Assistance Provided:No",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=640eaf13c91e3be2&fccid=ff96ce89314a063d&vjs=3,"Benefits:  401K, Dental, Life, Medical, VisionEmployment Type Full-TimeWe are seeking a Physician Assistant to join our growing Orthopedic Spine Surgery team!You will provide healthcare service in the clinic (50%) and operating room (50%), under the supervision of a board-certified orthopaedic spine surgeon.Responsibilities: Participate in non-trauma \u002F Emergency Department Call every other weekend under the supervision of the physician.Conduct comprehensive history and physical examinations in the clinic and hospital setting for new patients, as well as follow up non-surgical and surgical patients under the supervision of the physician.Interpret imaging (x-ray, MRI, CT, etc.) and laboratory data in order to make clinical decisions within the clinic and hospital under the supervision of the physician.Act as an assistant surgeon\u002Fsurgical first assist in the operating room.Reconcile medications and implement discharge\u002Ftreatment plans for surgical patients.Coordinate inpatient hospital care with consulting hospital services.Manage patients utilizing both operative and non-operative modalities.Qualifications: Graduation from an accredited Physician Assistant Program.Current NCCPA licensure as a Physician Assistant- Certified.Current Florida PA-C licensure strongly preferred.Current BLS and\u002For ACLS certification strongly preferred.Previous experience as a physician assistant in a hospital and\u002For clinical setting&mdash;surgical experience preferred, preferably in orthopedic surgery or neurosurgery.Excellent written and verbal communication skills.Strong organizational skills will be required.Job Type: Full-timeSalary: $100,000.00 \u002FyearExperience:Spine Surgery or Neurosurgery: 1 year (Preferred)Education:Master's (Required)Location:Celebration, FL 34747 (Required)License:Physician Assistant (Required)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceRelocation Assistance Provided:NoMedical Specialty:Surgery",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=cceab994ae4782e2&fccid=7473deff6092bbf8&vjs=3,"Seeking physicians assistants for modern, new urgent care facility. Practice will be using practice fusion with digital xrays and paperless setup. Very easy going team with no pressure, only genuine healthcare.Two teams will be splitting the week from 9am to 8pm. Each team will be doing 3(11hr days) per week and 4(11hr days) the following week.Experience in primary care and emergency setting with bilingual ability is a plus. Pay is based on experience. Please send resume to email address. Looking to open mid February.Thank you for your time!Job Type: Full-timeSalary: $95,000.00 to $100,000.00 \u002Fyear with benefitsJob Type: Full-timeSalary: $95,000.00 to $100,000.00 \u002FyearExperience:PA: 1 year (Preferred)Location:Orlando, FL 32822 (Preferred)License:physicians assistant (Required)Language:English, Spanish (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insurancePaid time offEMR Used:Practice FusionThis Company Describes Its Culture as:People-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeMedical Specialty:Urgent Care",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=dbacc7b6e44cbd37&fccid=ebe6c6063019f13d&vjs=3,"Physician Assistant \u002FNurse Practitioner OUTPATIENT ONLY !Sun N Lake Medical Group – Sebring, FLEstablished and growing Internal Medicine located in Central Florida. We have an immediate full-time position for a Physician Assistant or Nurse Practitioner. The interested candidate must have successful completion of a Physician Assistant\u002FNurse Practitioner program. This is an employed position with competitive salary and benefits including paid professional liability insurance, CME allowance, vacation and sick time accrued. Competitive salary based on experience in addition to productivity bonus. If you are determined to apply your exceptional medical skills in the best possible environment , we invite you to be a part of our outstanding team! Practice is currently using EMR since 2010.OUTPATIENT ONLY! NO HOSPITAL CALL OR ROUNDS!About Sebring: The Heart of Florida...Highlands County. Here in the center of the Sunshine State, you'll find crystal clear lakes for fishing, boating, skiing and sailing, and more than a dozen golf courses. Our gentle rolling hills, orange groves and charming small towns make this a relaxing country getaway - and our central location provides easy access to Florida's best attractions without the hustle and high prices of the major tourist areas. It's the best of both worlds - within two hours of most major attractions yet removed enough for that get-away-from-it-all feeling. Great schools and growing community! Excellent Opportunity. Close to Disney World and Universal Studios attractions.For questions please contact us at (863) 658-2003Website : wwwsunnlakemedicalgroup.comJob Type: Full-timeEducation:Master's (Required)Location:Sebring, FL (Preferred)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceRetirement planPaid time offRelocation Assistance Provided:YesMedical Specialty:Internal Medicine",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=bb6ebb46e50269ba&fccid=97ccfe729bcec9bd&vjs=3,"FSCDR is looking for a candidate ready to bring their skill set, learn and grow with our organization and stay with us long term. We are looking for someone that loves nonprofit work and is willing to work with our specialized group of patients in the community.This position involves Comprehensive Care.As a Physician Assistant, you will practice medicine, playing a broad and ever-expanding role within a healthcare system that is evolving to face new challenges – an aging baby boomer population, an increase in managed care, and an increased focus on disease prevention and wellness.Some of the duties:Provides primary healthcare in collaboration with physiciansManages selected cases according to established protocolsMaintains case histories, medical reports, and other recordsPrepares treatment plansOrders x-rays and other diagnostic proceduresWrites prescriptions according to protocolsConducts health assessments utilizing diagnostic tools and laboratory testsPatient education counselingPerforms other duties as requested by physicians and clinic managerFollows state guidelines for Prescriptive and Distributing Authority as outlined by the Florida State Board of Medical Examiners.Adheres to strict Louisiana State Board of Medical Examiners guidelines for prescriptive authority supervised by MHM medical staff physician.Ensure essential documentation and recording of patient and research data in appropriate files per institutional and regulatory requirements.Participate in monitor visits and regulatory audits.Other duties may also be assignedCandidate must have a reliable car.Education:Graduate from an ARC-PA accredited physician assistant programState licenseBLS certificationNational Provider Identifier (NPI)Benefits:2 weeks paid vacation1 week paid for sick leavePaid holidaysWe are working on getting healthcare\u002Fdental benefits, but these are not available at this very moment.The Foundation for Sickle Cell Disease Research is a growing center in Hollywood, FL that focuses solely on sickle cell disease. We made history as the first outpatient center in the entire country that is specifically for sickle cell disease - a disease that affects ~100,000 people nationwide, with a majority being in South Florida. We recently were granted land by Miami-Dade County to build the nation's first sickle cell disease hospital.The office atmosphere is very comforting: we have warm colors, nice music, celebrate each staff member’s birthdays and have many opportunities to learn and grow. FSCDR is also a woman- and minority-owned organization. We hope you’ll love it here!Job Type: Full-timeSalary: $85,000 - $105,000It must be noted that candidates will be viewed as an independent contractor during their first 90 days before being considered for full-time employmentJob Type: Full-timeSalary: $45.00 to $50.00 \u002FhourBenefits:Paid time offSchedule:Monday to Friday",,,,,
"AHMG Cardiothoracic Surgery at Waterman - Surgical Physician Assistant (PA",https://www.indeed.com/rc/clk?jk=4030f395c7c4a2ce&fccid=11994ad5a40ae7aa&vjs=3,"AdventHealth Medical Group formerly known as Florida Hospital Medical Group is associated with the largest Protestant not-for-profit healthcare system in the world, AdventHealth and a national leader in quality, safety and patient satisfaction. AHMG&rsquo;s advanced practice providers manage the treatment and care for our patients in the practice setting, as well as at AdventHealth&rsquo;s ten campuses in Altamonte Springs, Apopka, Celebration, East Orlando, Heart of Florida, Kissimmee, Lake Wales, Orlando, Winter Park and AdventHealth Waterman in Tavares.\nAdventHealth Medical Group Cardiothoracic Surgery at Waterman\nSurgical Physician Assistant (PA-C)\nFull time inpatient Position with some Outpatient Responsibilities\nGeneral Summary: The ideal candidate would serve as an integral role in the global management of cardiothoracic surgery patients, including all aspects of peri-operative care from performing patient histories and daily rounds to invasive surgical procedures, including endoscopic vein harvest for coronary artery bypass graft procedures.\nThe APP, under the supervision of the Physicians is responsible for:\nPerforms patient histories and physical exams in the office and hospital setting\nHandles daily patient rounds (including the CVICU), patient education and discharge summaries\nPerforms invasive procedures, such as chest tube insertions, placement of central venous, dialysis and Swan-Ganz catheters, arterial lines and removal of intra-aortic balloon pumps\nExhibits autonomy in the operating room when required\nEndoscopic vein harvest, including greater and lesser saphenous veins and\u002For radial arteries, for use as a bypass conduit (proficient in use of Maquet EVH system)\nPerforms first assistant duties on all adult cardiac and thoracic cases\nMeets the specific needs of the attending surgeon, often assisting several surgeons in a single practice\nHas exacting knowledge of each surgeon's idiosyncrasies to expedite the procedure and limit patient morbidity and mortality\nUses knowledge of medical model to promote synergistic relationship between physician and PA\nHas extensive knowledge of ventilator management and artificial cardiac devices\nPerforms duties of a primary care PA\nManages other disease entities frequently encountered in the cardiac population, namely hypertension, diabetes, COPD, asthma, pneumonia and others\n\nSchedule Details:\nLocation: AdventHealth Waterman\nSchedule is Monday &ndash; Friday from 7:30 AM &ndash; 5:00 PM with some flexibility\nCall rotation 1 in 3 weeknights, and 1 in 3 weekends\n includes hospital rounding and overnight call\nMostly inpatient with some outpatient responsibilities\n\nKnowledge and Skills Required:\nEnthusiastic team player\nPassion for CT Surgery\nWillingness to learn\n\nEducation and Experience:\nMaster&rsquo;s degree in Physician Assistant Studies\n1-3 Years of experience in CT Surgery as a surgical first-assist\n1-3 Years of experience in endoscopic vein harvesting (Highly Preferred)\n\nLicensure, Certification, and Registration:\nCurrent, valid Florida PA-C license\nCurrent BLS and ACLS",,,,,
"Physician Assistant / APRN Emergency Medicine - Gainesville",https://www.indeed.com/rc/clk?jk=88f3811b6c7be848&fccid=2c895ab38c5bf4cc&vjs=3,"For Inpatient assignment, assists the attending physician in the care and management of patients on Inpatient units within the hospital. This includes making patient rounds, contributing to the decisions for daily care, writing orders, interacting with consultants, and facilitating and coordinating the scheduling of therapeutic and diagnostic tests and procedures. Will make frequent bedside visits to assess the status of patients and direct care accordingly. May also see patients in the clinic environment.\n\nFor Emergency Dept. assignment assists the Emergency Department physicians in the comprehensive medical care of the patient, in the emergency department and the chest pain observation unit and in any role the supervisory physician deems appropriate and consistent with applicable law, hospital regulation and licensure and clinical privileges. The incumbent will consult with the supervisory physician to determine the most appropriate care for patients. Acute Care ARNP or PA required.\n\nFor Clinic assignment, under supervision of an attending physician this position will provide diagnostic and therapeutic health care coverage for patients which will include but not be limited to taking medical histories, performing physical examinations, coordinating lab tests, diagnostic studies, prescribing medications, and providing assistance to the patient regarding a plan of treatment and education. Other duties may include sharing call hours, phone coverage, and seeing admitted patients within the hospital.\n\nFor ICU assignment, assists the attending ICU physician in the care and management of patients. This includes making patient rounds, contributing to the decisions for daily care, writing orders, interacting with consultants, and facilitating and coordinating the scheduling of therapeutic and diagnostic tests and procedures. Will make frequent bedside visits to assess the status of patients and direct care accordingly. Acute Care ARNP or PA required. Acute Care ARNP or PA required.\n\nJob Opening Qualifications\n\nMinimum Education and Experience Requirements:\nMinimum: Bachelor’s Degree from an Accredited PA program and National Board Certification; Master’s degree from Accredited PA program preferred.\n--or--\nBachelor’s degree in Nursing and Graduate from a school of nursing for Advanced Practice Nursing with certification in area of specialty; Master’s degree in Nursing preferred.\nCredentialing: Must meet requirements set of by the Medical Staff Office to obtain and retain privileges to practice as Physician Assistant or Nurse Practitioner within UF Health Shands Hospital and\u002For the Shands UF Healthcare Network, as applicable.\n\nMotor Vehicle Operator Designation:Employees in this position:\nWill operate vehicles for an assigned business purpose as a \"non-frequent driver\"\n\nNOTE: A frequent driver is defined as one who uses his\u002Fher personal or Shands automobile a) at least once daily, b) at least five individual trips per week or c) drives, on average, over 150 miles per week in the performance of his\u002Fher job.\n\nLicensure\u002FCertification\u002FRegistration:\nFlorida ARNP\u002FPA license and BLS are required.",,,,,
"Physician Assistant for Urgent Care",https://www.indeed.com/rc/clk?jk=83f533a1c333c794&fccid=ac39ca168b4f2525&vjs=3,"Paramount Urgent Care is a busy 6 location urgent care practice. Paramount is seeking an experienced PA with experience ideally in emergency\u002Furgent care medicine. The ability to work autonomously is essential for this position. Candidate should have an appreciation for patient\u002Fcustomer satisfaction, and the ability to work in a fast-paced, high volume clinic. All providers rotate between the six clinics which gives you exposure to a wide variety of patients and cases.The position includes benefits: Health insurance, malpractice coverage, CME reimbursementPlease submit CV on our website www.paramounturgentcare.comJob Type: Full-timeExperience:relevant: 1 year (Preferred)Education:Master's (Preferred)Location:Clermont, FL (Preferred)Work authorization:United States (Preferred)Work Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planFlexible scheduleMedical Specialty:Urgent Care",,,,,
"Nurse Practitioner/Physician Assistant",https://www.indeed.com/rc/clk?jk=bef1250a560a9aca&fccid=7fea8ae655eda24c&vjs=3,"Nurse Practitioner\u002FPhysician AssistantPrivately owned Internal Medicine practice seeking a Nurse Practitioner or Physician Assistant to join our team. This is a full time opportunity with a daytime schedule – no on call! Experience is a plus, but recent graduates are encouraged to apply.Responsibilities include: Diagnose and treat acute, episodic, and chronic illnessesPrescribe necessary medications and treatmentsPerform comprehensive physical examinationsMaintain patient health recordsProvide healthcare teaching and counselingInitiate referrals and order labs and proceduresThe ideal candidate will be able to effectively communicate to diverse populations, display dedication, loyalty, and compassion, and be able to work autonomously. Bilingual preferred but not required. Must hold current license\u002Fregistration to practice in the state of Florida.Benefits Include: Competitive compensationProductivity BonusRetirement BenefitsHealth InsuranceDental\u002FVision InsurancePaid time offPaid HolidaysCME, Dues & License, DEA and other reimbursements.Malpractice insurance coverageJob Type: Full-timeJob Type: Full-timeEducation:Master's (Required)Location:Orlando, FL 32819 (Required)License:APRN or PA-C (Required)Additional Compensation:BonusesOther formsWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceEnvironment:OutpatientCompleted license needed:Upon starting workEMR Used:eClinicalPatient Type:AdultsGeriatricWomen's HealthRelocation Assistance Provided:NoThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborative",,,,,
